MYEAR	SDATE	STIME	SHIPC	SERNO	STATN	LATIT_DD	LONGI_DD	SEA_AREA_CODE	SEA_AREA_NAME	SEA_BASIN	WATER_DISTRICT	WATER_TYPE_AREA	WLTYP	DEPH	TEMP_BTL	Q_TEMP_BTL	TEMP_CTD	Q_TEMP_CTD	SALT_BTL	Q_SALT_BTL	SALT_CTD	Q_SALT_CTD	DOXY_BTL	Q_DOXY_BTL	DOXY_CTD	Q_DOXY_CTD	PHOS	Q_PHOS	NTRI	Q_NTRI	NTRA	Q_NTRA	NTRZ	Q_NTRZ	AMON	Q_AMON	CPHL	Q_CPHL	SECCHI	Q_SECCHI
2017	2017-10-12	00:40	34EB	9	N14 FALKENBERG	56.940630000000006	12.21162							0.0			13.01				22.5		6.34		6.1		0.15		0.02	<	0.1	<	0.1	<	0.2	<	2.8			
2017	2017-10-12	00:40	34EB	9	N14 FALKENBERG	56.940630000000006	12.21162							5.0			13.0				22.5		6.32		6.1		0.15		0.02	<	0.1	<	0.1	<	0.2	<	2.6			
2017	2017-10-12	00:40	34EB	9	N14 FALKENBERG	56.940630000000006	12.21162							10.0	13.01		13.0				22.51		6.33		6.0		0.14		0.02	<	0.1	<	0.1	<	0.2	<	2.6			
2017	2017-10-12	00:40	34EB	9	N14 FALKENBERG	56.940630000000006	12.21162							15.0			14.09				26.5		5.4		4.8		0.26		0.14		0.62		0.76		0.2	<	4.6			
2017	2017-10-12	00:40	34EB	9	N14 FALKENBERG	56.940630000000006	12.21162							20.0			14.64				32.94		4.1		3.8		0.62		0.1		4.93		5.03		0.2	<	0.7			
2017	2017-10-12	00:40	34EB	9	N14 FALKENBERG	56.940630000000006	12.21162							25.0	13.38		14.54				33.34		4.07		3.8		0.66		0.09		5.25		5.34		0.2	<	0.4			
2017	2017-10-12	00:40	34EB	9	N14 FALKENBERG	56.940630000000006	12.21162							30.0	14.44								4.09				0.66		0.12		5.14		5.26		0.2	<				
2017	2017-10-11	20:10	34EB	8	FLADEN	57.1922	11.65742							0.0			13.39				28.49		6.27		5.9		0.17		0.02		0.1	<	0.1	<	0.2	<	3.9			
2017	2017-10-11	20:10	34EB	8	FLADEN	57.1922	11.65742							5.0	13.38		13.38				28.47		6.25		5.9		0.16		0.02	<	0.1	<	0.1	<	0.2	<	3.7			
2017	2017-10-11	20:10	34EB	8	FLADEN	57.1922	11.65742							10.0			13.43				28.59		6.25		5.8		0.16		0.02	<	0.1	<	0.1	<	0.2	<	3.6			
2017	2017-10-11	20:10	34EB	8	FLADEN	57.1922	11.65742							15.0	14.68		14.63				31.26		5.49		5.1		0.35		0.46		0.59		1.05		0.31		1.8			
2017	2017-10-11	20:10	34EB	8	FLADEN	57.1922	11.65742							20.0			14.96				32.16		5.38		5.0		0.39		0.57		0.75		1.32		0.5		0.9			
2017	2017-10-11	20:10	34EB	8	FLADEN	57.1922	11.65742							25.0			15.09				32.73		5.36		4.9		0.41		0.5		0.69		1.19		0.74		0.7			
